state,state_code,destination,tourism_type,best_months,good_months,avoid_months,why_best,international_draw,weather,crowd_level,description,category,image_url
Maranhão,MA,Lençóis Maranhenses,Nature / Ecotourism,June | July | August,May | September,January | February | March,Rainy season ends but lagoons still full — ideal for swimming and sandboarding,High,hot,moderate,Vast desert landscape of white sand dunes filled with crystal-clear freshwater lagoons after the rainy season. A surreal and unique ecosystem found nowhere else on Earth.,nature,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Len%C3%A7%C3%B3is_Maranhenses_2018.jpg/960px-Len%C3%A7%C3%B3is_Maranhenses_2018.jpg
Mato Grosso do Sul,MS,Pantanal,Wildlife / Ecotourism,July | August | September | October,April | May | June,November | December | January | February | March,Dry season — water levels low so wildlife concentrates. Best jaguar spotting Jul-Oct,Very High,hot,low,"The world's largest tropical wetland — a UNESCO World Heritage Site and the best place on Earth to spot jaguars in the wild. Also home to giant otters, capybaras, caimans and hundreds of bird species.",nature,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Jabiru_Mato_Grosso_Pantanal_Brazil-3.jpg/960px-Jabiru_Mato_Grosso_Pantanal_Brazil-3.jpg
Amazonas,AM,Amazon Rainforest (dry season),Nature / Ecotourism,June | July | August | September,April | May,,"The world's largest rainforest. Dry season offers easier trekking, river beaches and exceptional wildlife spotting. Base yourself in Manaus for access to jungle lodges",Very High,hot,low,"The world's largest rainforest, covering 60% of Brazil. Dry season offers easier trekking, river beaches and exceptional wildlife spotting. Base yourself in Manaus for access to jungle lodges.",nature,https://upload.wikimedia.org/wikipedia/commons/c/cc/Anavilhanas2.jpg
Amazonas,AM,Amazon Rainforest (wet season),Nature / Ecotourism,January | February | March,November | December,,Wet season — easier navigation by boat. Flora at peak. Different experience,High,hot,low,Flooded forest season — boats navigate between treetops in the iconic igapó (flooded forest). Pink river dolphins (locally known as Boto Cor-de-rosa) are more visible and the landscape is otherworldly.,nature,https://upload.wikimedia.org/wikipedia/commons/c/cc/Anavilhanas2.jpg
Pernambuco,PE,Fernando de Noronha (diving),Marine / Diving,August | September | October | November,December | January,March | April | May,Clearest waters for diving (up to 50m visibility). Spinner dolphins. Fewer tourists,Very High,warm,moderate,"Brazil's most exclusive island destination — a UNESCO marine reserve 350km offshore with the clearest waters in the South Atlantic. World-class diving with spinner dolphins, sea turtles and sharks. The island limits visitor numbers to protect the ecosystem.",beach,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Parque_Nacional_Marinho_de_Fernando_de_Noronha_-_Jo%C3%A3o_Paulo_Marques_DAndretta_12.jpg/960px-Parque_Nacional_Marinho_de_Fernando_de_Noronha_-_Jo%C3%A3o_Paulo_Marques_DAndretta_12.jpg
Pernambuco,PE,Fernando de Noronha (surfing),Surfing,January | February,,,Strong waves on the Atlantic side — surfing season,High,warm,moderate,Baía dos Porcos and Cacimba do Padre host internationally renowned surf breaks. The island limits visitor numbers to protect the ecosystem.,beach,https://upload.wikimedia.org/wikipedia/commons/2/22/Noronha_02.jpg
Rio de Janeiro,RJ,Rio de Janeiro (city),City / Culture / Beach,April | May | September | October | November,March | June | July,January | February,Shoulder season — warm but less crowded. Lower prices,Very High,warm,high,"Brazil's most iconic city — home to Christ the Redeemer, Copacabana, Ipanema, and the Sugarloaf Mountain. A vibrant mix of beach culture, samba, gastronomy and world-class nightlife.",culture,https://upload.wikimedia.org/wikipedia/commons/e/e4/Cidade_de_luz_e_cor.jpg
Rio de Janeiro,RJ,Rio de Janeiro — Carnaval,Cultural Event,February | March,,,World-famous Carnaval — major international draw,Very High,warm,very high,"The world's biggest carnival — five days of samba school parades at the Sambódromo plus street parties (blocos) across the city, filled with music and dance and vibrant costumes. An unmissable cultural spectacle.",culture,https://upload.wikimedia.org/wikipedia/commons/3/3f/Mangueira_2013_130211.jpg
Rio de Janeiro,RJ,Rio de Janeiro — Réveillon,Cultural Event,December | January,,,One of world's largest New Year celebrations,Very High,warm,very high,"The world's largest New Year's Eve celebration on Copacabana beach — over 2 million people in white gather for fireworks, live music and offerings to Iemanjá, the Afro-Brazilian goddess of the sea.",culture,https://upload.wikimedia.org/wikipedia/commons/e/ed/Rio_New_Year_Fireworks.jpg
Rio de Janeiro,RJ,Ilha Grande,Island / Beach,October | November | March | April,September | May,June | July | August,Warm water and less rain,High,warm,moderate,"Car-free island off the Rio coast — lush Atlantic forest, pristine beaches and no roads. Accessible only by boat. One of the most biodiverse coastal areas in Brazil.",beach,https://upload.wikimedia.org/wikipedia/commons/f/ff/Praia_da_Feiticeira_01.jpg
Rio de Janeiro,RJ,Búzios,Beach,October | November | December | January | February | March,September | April,June | July | August,Warm summer months,High,hot,high,"Chic coastal resort town made famous by Brigitte Bardot in the 1960s. 23 beaches, upscale restaurants and a lively nightlife strip on Rua das Pedras.",beach,https://upload.wikimedia.org/wikipedia/commons/2/25/Buzios-CasaSino.jpg
São Paulo,SP,São Paulo (city),City / Business / Culture,March | April | September | October | November,May | August,January | February | July,Mild weather,Very High,mild,high,"South America's largest city and Brazil's cultural and economic capital. World-class gastronomy, museums, architecture and the most diverse international community in the country.",city,https://upload.wikimedia.org/wikipedia/commons/7/75/Vista_a%C3%A9rea_de_la_Avenida_Paulista_de_S%C3%A3o_Paulo_05.jpg
São Paulo,SP,São Paulo — Formula 1 Grand Prix,Sports Event,November,,,Major international sports event,Very High,mild,very high,"The Brazilian Grand Prix at Interlagos is one of Formula 1's most beloved races — a fast, twisty circuit with passionate crowds and unpredictable weather.",adventure,https://upload.wikimedia.org/wikipedia/commons/6/6d/2007_Brazilian_GP_4_drivers_at_start.jpg
São Paulo,SP,Campos do Jordão,Mountain / Culture,June | July | August,May | September,,"Winter months — cool mountain air. Festival de Inverno in July features music, dance and theatre performances in the historic city centre",Medium,cool,moderate,"Brazil's highest city at 1,628m in the Serra da Mantiqueira — known as the ""Brazilian Switzerland"". Famous for its European-style architecture, fondue, and winter festival of classical music.",culture,https://upload.wikimedia.org/wikipedia/commons/3/3b/Rua_Djalma_Forjaz%2C_Campos_do_Jord%C3%A3o%2C_SP.jpg
Bahia,BA,Salvador,City / Culture / Beach,February | June | July | December,All,,Carnaval in Feb is world-class. June is Festa Junina. Dec for beaches,Very High,hot,high,"The heart of Afro-Brazilian culture — a UNESCO World Heritage city with the largest African diaspora population outside Africa. Famous for its Pelourinho historic centre, candomblé, and Carnaval.",culture,https://upload.wikimedia.org/wikipedia/commons/c/c0/Salvador_BA_%28cropped%29_2.jpg
Bahia,BA,Chapada Diamantina,Trekking / Nature,June | July | August | September | October,May | November,January | February | March,Dry season — waterfalls still flowing but trails dry. Great visibility,High,warm,low,"Stunning highland plateau in Bahia with waterfalls, caves, natural pools and dramatic canyon landscapes. A favourite for multi-day trekking and adventure tourism.",nature,https://upload.wikimedia.org/wikipedia/commons/8/84/Parque_Nacional_Chapada_Diamantina_Rafael_Cristo_Watanabe_04.jpg
Bahia,BA,Porto Seguro / Arraial d'Ajuda,Beach,October | November | December | January | February | March,September | April,," Warm and sunny weather, ideal for beach activities",High,hot,high,"Where Brazil was first discovered by the Portuguese in 1500. Beautiful beaches, a historic colonial town and a vibrant backpacker scene. One of Brazil's most popular summer destinations.",beach,https://upload.wikimedia.org/wikipedia/commons/5/5e/Porto_Seguro.1.jpg
Bahia,BA,Morro de São Paulo,Island / Beach,October | November | December | January | February | March,September | April,May | June | July | August,Summer warmth and clear water. Car-free island,High,hot,moderate,"Car-free island in Bahia accessible only by boat or small plane. Tropical beaches, clear water and a relaxed bohemian atmosphere.",beach,https://upload.wikimedia.org/wikipedia/commons/a/a5/Morro_de_S%C3%A3o_Paulo_Mirante.JPG
