state,state_code,destination,type,best_months,good_months,avoid_months,why_best,category,international_draw,weather,crowd_level,description
Maranhão,MA,Lençóis Maranhenses,Nature / Ecotourism,June|July|August,May|September,January|February|March,Rainy season ends but lagoons still full — ideal for swimming and sandboarding,Nature / Ecotourism,High,hot,moderate,Vast desert landscape of white sand dunes filled with crystal-clear freshwater lagoons after the rainy season. A surreal and unique ecosystem found nowhere else on Earth.
Mato Grosso do Sul,MS,Pantanal,Wildlife / Ecotourism,July|August|September|October,April|May|June,November|December|January|February|March,Dry season — water levels low so wildlife concentrates. Best jaguar spotting Jul-Oct,Wildlife / Ecotourism,Very High,hot,low,"The world's largest tropical wetland — a UNESCO World Heritage Site and the best place on Earth to spot jaguars in the wild. Also home to giant otters, capybaras, caimans and hundreds of bird species."
Amazonas,AM,Amazon Rainforest (dry season),Nature / Ecotourism,June|July|August|September,April|May,,Dry season — easier trekking and wildlife spotting. Beaches appear on riverbanks,Nature / Ecotourism,Very High,hot,low,"The world's largest rainforest, covering 60% of Brazil. Dry season offers easier trekking, river beaches and exceptional wildlife spotting. Base yourself in Manaus for access to jungle lodges."
Amazonas,AM,Amazon Rainforest (wet season),Nature / Ecotourism,January|February|March,November|December,,Wet season — easier navigation by boat. Flora at peak. Different experience,Nature / Ecotourism,High,hot,low,Flooded forest season — boats navigate between treetops in the iconic igapó (flooded forest). Pink river dolphins are more visible and the landscape is otherworldly.
Pernambuco,PE,Fernando de Noronha (diving),Marine / Diving,August|September|October|November,December|January,March|April|May,Clearest waters for diving (up to 50m visibility). Spinner dolphins. Fewer tourists,Marine / Diving,Very High,warm,moderate,"Brazil's most exclusive island destination — a UNESCO marine reserve 350km offshore with the clearest waters in the South Atlantic. World-class diving with spinner dolphins, sea turtles and sharks."
Pernambuco,PE,Fernando de Noronha (surfing),Surfing,January|February,,,Strong waves on the Atlantic side — surfing season,Surfing,High,warm,moderate,Baía dos Porcos and Cacimba do Padre host internationally renowned surf breaks. The island limits visitor numbers to protect the ecosystem.
Rio de Janeiro,RJ,Rio de Janeiro (city),City / Culture / Beach,April|May|September|October|November,March|June|July,January|February,Shoulder season — warm but less crowded. Lower prices,City / Culture / Beach,Very High,warm,high,"Brazil's most iconic city — home to Christ the Redeemer, Copacabana, Ipanema, and the Sugarloaf Mountain. A vibrant mix of beach culture, samba, gastronomy and world-class nightlife."
Rio de Janeiro,RJ,Rio de Janeiro — Carnaval,Cultural Event,February|March,,,World-famous Carnaval — major international draw,Cultural Event,Very High,warm,very high,The world's biggest carnival — five days of samba school parades at the Sambódromo plus street parties (blocos) across the city. An unmissable cultural spectacle.
Rio de Janeiro,RJ,Rio de Janeiro — Réveillon,Cultural Event,December|January,,,One of world's largest New Year celebrations,Cultural Event,Very High,warm,very high,"The world's largest New Year's Eve celebration on Copacabana beach — over 2 million people in white gather for fireworks, live music and offerings to Iemanjá."
Rio de Janeiro,RJ,Ilha Grande,Island / Beach,October|November|March|April,September|May,June|July|August,Warm water and less rain. Avoid winter — cold and rainy,Island / Beach,High,warm,moderate,"Car-free island off the Rio coast — lush Atlantic forest, pristine beaches and no roads. Accessible only by boat. One of the most biodiverse coastal areas in Brazil."
Rio de Janeiro,RJ,Búzios,Beach,October|November|December|January|February|March,September|April,June|July|August,Warm summer months. Peak season Dec-Feb,Beach,High,hot,high,"Chic coastal resort town made famous by Brigitte Bardot in the 1960s. 23 beaches, upscale restaurants and a lively nightlife strip on Rua das Pedras."
São Paulo,SP,São Paulo (city),City / Business / Culture,March|April|September|October|November,May|August,January|February|July,Mild weather. Avoid summer heat and winter cold,City / Business / Culture,Very High,mild,high,"South America's largest city and Brazil's cultural and economic capital. World-class gastronomy, museums, architecture and the most diverse international community in the country."
São Paulo,SP,São Paulo — Formula 1 Grand Prix,Sports Event,November,,,Major international sports event — peak hotel demand,Sports Event,Very High,mild,very high,"The Brazilian Grand Prix at Interlagos is one of Formula 1's most beloved races — a fast, twisty circuit with passionate crowds and unpredictable weather."
São Paulo,SP,Campos do Jordão,Mountain / Culture,June|July|August,May|September,,Winter months — cool mountain air. Festival de Inverno in July,Mountain / Culture,Medium,cool,moderate,"Brazil's highest city at 1,628m in the Serra da Mantiqueira — known as the ""Brazilian Switzerland"". Famous for its European-style architecture, fondue, and winter festival of classical music."
Bahia,BA,Salvador,City / Culture / Beach,February|June|July|December,All,,Carnaval in Feb is world-class. June is Festa Junina. Dec for beaches,City / Culture / Beach,Very High,hot,high,"The heart of Afro-Brazilian culture — a UNESCO World Heritage city with the largest African diaspora population outside Africa. Famous for its Pelourinho historic centre, candomblé, and Carnaval."
Bahia,BA,Chapada Diamantina,Trekking / Nature,June|July|August|September|October,May|November,January|February|March,Dry season — waterfalls still flowing but trails dry. Great visibility,Trekking / Nature,High,warm,low,"Stunning highland plateau in Bahia with waterfalls, caves, natural pools and dramatic canyon landscapes. A favourite for multi-day trekking and adventure tourism."
